famille,pg_id,gamme,alias,pg_level,pg_top,g_level_estime,keyword_generique,keyword_voiture
"Amortisseur et suspension",1718,"Sphère de suspension",sphere-de-suspension,2,0,G3,"sphère de suspension","sphère de suspension voiture"
"Support moteur",249,"Support de boîte vitesse",support-de-boite-vitesse,1,0,G2,"support de boîte vitesse","support de boîte vitesse voiture"
"Support moteur",247,"Support moteur",support-moteur,1,1,G1,"support moteur","support moteur voiture"
"Embrayage",48,"Butée d'embrayage",butee-d-embrayage,1,0,G2,"butée d'embrayage","butée d'embrayage voiture"
"Embrayage",478,"Câble d'embrayage",cable-d-embrayage,1,0,G2,"câble d'embrayage","câble d'embrayage voiture"
"Embrayage",234,"Emetteur d'embrayage",emetteur-d-embrayage,1,0,G2,"emetteur d'embrayage","emetteur d'embrayage voiture"
"Embrayage",3419,"Fourchette d'embrayage",fourchette-d-embrayage,2,0,G3,"fourchette d'embrayage","fourchette d'embrayage voiture"
"Embrayage",4688,"Guide d'embrayage",guide-d-embrayage,2,0,G3,"guide d'embrayage","guide d'embrayage voiture"
"Embrayage",479,"Kit d'embrayage",kit-d-embrayage,1,1,G1,"kit d'embrayage","kit d'embrayage voiture"
"Embrayage",620,"Récepteur d'embrayage",recepteur-d-embrayage,1,0,G2,"récepteur d'embrayage","récepteur d'embrayage voiture"
"Embrayage",1650,"Tringle de vitesses",tringle-de-vitesses,2,0,G3,"tringle de vitesses","tringle de vitesses voiture"
"Embrayage",577,"Volant moteur",volant-moteur,1,0,G2,"volant moteur","volant moteur voiture"
"Transmission",624,"Bague d'étanchéité cardan",bague-d-etancheite-cardan,2,0,G3,"bague d'étanchéité cardan","bague d'étanchéité cardan voiture"
"Transmission",13,"Cardan",cardan,1,1,G1,"cardan","cardan voiture"
"Transmission",1427,"Joint arbre longitudinal",joint-arbre-longitudinal,2,0,G3,"joint arbre longitudinal","joint arbre longitudinal voiture"
"Transmission",2109,"Palier d'arbre de transmission",palier-d-arbre-de-transmission,2,0,G3,"palier d'arbre de transmission","palier d'arbre de transmission voiture"
"Transmission",193,"Soufflet de Cardan",soufflet-de-cardan,1,0,G2,"soufflet de cardan","soufflet de cardan voiture"
"Transmission",1147,"Trépied arbre de commande",trepied-arbre-de-commande,2,0,G3,"trépied arbre de commande","trépied arbre de commande voiture"
"Système électrique",4,"Alternateur",alternateur,1,1,G1,"alternateur","alternateur voiture"
"Système électrique",682,"Contacteur démarreur",contacteur-demarreur,2,0,G3,"contacteur démarreur","contacteur démarreur voiture"
"Système électrique",2,"Démarreur",demarreur,1,1,G1,"démarreur","démarreur voiture"
"Système électrique",1367,"Neiman",neiman,1,0,G2,"neiman","neiman voiture"
"Capteurs",412,"Capteur ABS",capteur-abs,1,0,G2,"capteur abs","capteur abs voiture"
"Capteurs",3921,"Capteur de cognement",capteur-de-cognement,1,0,G2,"capteur de cognement","capteur de cognement voiture"
"Capteurs",3908,"Capteur de pédale d'accélérateur",capteur-de-pedale-d-accelerateur,2,0,G3,"capteur de pédale d'accélérateur","capteur de pédale d'accélérateur voiture"
"Capteurs",3996,"Capteur de pression Common Rail",capteur-de-pression-common-rail,2,0,G3,"capteur de pression common rail","capteur de pression common rail voiture"
"Capteurs",4813,"Capteur impulsion",capteur-impulsion,1,0,G2,"capteur impulsion","capteur impulsion voiture"
"Capteurs",1289,"Capteur niveau d'huile moteur",capteur-niveau-d-huile-moteur,1,0,G2,"capteur niveau d'huile moteur","capteur niveau d'huile moteur voiture"
"Capteurs",817,"Capteur pression de carburant",capteur-pression-de-carburant,1,0,G2,"capteur pression de carburant","capteur pression de carburant voiture"
"Capteurs",4272,"Capteur pression de gaz d'échappement",capteur-pression-de-gaz-d-echappement,2,0,G3,"capteur pression de gaz d'échappement","capteur pression de gaz d'échappement voiture"
"Capteurs",3947,"Capteur pression du tuyau d'admission",capteur-pression-du-tuyau-d-admission,1,0,G2,"capteur pression du tuyau d'admission","capteur pression du tuyau d'admission voiture"
"Capteurs",4175,"Capteur pression et température d'huile",capteur-pression-et-temperature-d-huile,1,0,G2,"capteur pression et température d'huile","capteur pression et température d'huile voiture"
"Capteurs",3939,"Capteur température d'air admission",capteur-temperature-d-air-admission,1,0,G2,"capteur température d'air admission","capteur température d'air admission voiture"
"Capteurs",3890,"Electrovanne",electrovanne,2,0,G3,"electrovanne","electrovanne voiture"
"Capteurs",806,"Interrupteur des feux de freins",interrupteur-des-feux-de-freins,1,0,G2,"interrupteur des feux de freins","interrupteur des feux de freins voiture"
"Capteurs",2197,"Interrupteur position de marche",interrupteur-position-de-marche,2,0,G3,"interrupteur position de marche","interrupteur position de marche voiture"
"Capteurs",805,"Pressostat d'huile",pressostat-d-huile,1,0,G2,"pressostat d'huile","pressostat d'huile voiture"
"Capteurs",830,"Sonde de refroidissement",sonde-de-refroidissement,1,0,G2,"sonde de refroidissement","sonde de refroidissement voiture"
"Capteurs",3922,"Sonde lambda",sonde-lambda,1,0,G2,"sonde lambda","sonde lambda voiture"
"Capteurs",1298,"Valve de réglage du ralenti",valve-de-reglage-du-ralenti,1,0,G2,"valve de réglage du ralenti","valve de réglage du ralenti voiture"
"Système d'alimentation",1303,"Accumulateur de pression de carburant",accumulateur-de-pression-de-carburant,2,0,G3,"accumulateur de pression de carburant","accumulateur de pression de carburant voiture"
"Système d'alimentation",158,"Boîtier papillon",corps-papillon,1,0,G2,"boîtier papillon","boîtier papillon voiture"
"Système d'alimentation",3916,"Conduite à haute pression d'injection",conduite-a-haute-pression-d-injection,2,0,G3,"conduite à haute pression d'injection","conduite à haute pression d'injection voiture"
"Système d'alimentation",3927,"Débitmètre d'air",debitmetre-d-air,1,1,G1,"débitmètre d'air","débitmètre d'air voiture"
"Système d'alimentation",3902,"Injecteur",injecteur,1,0,G2,"injecteur","injecteur voiture"
"Système d'alimentation",3894,"Joint d'injecteur",joint-d-injecteur,1,0,G2,"joint d'injecteur","joint d'injecteur voiture"
"Système d'alimentation",3893,"Joint de pompe d'injection",joint-de-pompe-d-injection,2,0,G3,"joint de pompe d'injection","joint de pompe d'injection voiture"
"Système d'alimentation",903,"Pompe à air",pompe-a-air,2,0,G3,"pompe à air","pompe à air voiture"
"Système d'alimentation",458,"Pompe à carburant",pompe-a-carburant,1,1,G1,"pompe à carburant","pompe à carburant voiture"
"Système d'alimentation",3918,"Pompe à haute pression",pompe-a-haute-pression,2,0,G3,"pompe à haute pression","pompe à haute pression voiture"
"Système d'alimentation",3904,"Pompe à injection",pompe-a-injection,2,0,G3,"pompe à injection","pompe à injection voiture"
"Système d'alimentation",862,"Pompe d'amorcage",pompe-d-amorcage,2,0,G3,"pompe d'amorcage","pompe d'amorcage voiture"
"Système d'alimentation",3640,"Refroidisseur de carburant",refroidisseur-de-carburant,2,0,G3,"refroidisseur de carburant","refroidisseur de carburant voiture"
"Système d'alimentation",168,"Régulateur de pression carburant",regulateur-de-pression-carburant,2,0,G3,"régulateur de pression carburant","régulateur de pression carburant voiture"
"Système d'alimentation",904,"Soupape d'air secondaire",soupape-d-air-secondaire,2,0,G3,"soupape d'air secondaire","soupape d'air secondaire voiture"
"Système d'alimentation",1136,"Soupape d'aspiration d'air secondaire",soupape-d-aspiration-d-air-secondaire,2,0,G3,"soupape d'aspiration d'air secondaire","soupape d'aspiration d'air secondaire voiture"
"Système d'alimentation",5656,"Soupape de rampe commune d'injection",soupape-de-rampe-commune-d-injection,2,0,G3,"soupape de rampe commune d'injection","soupape de rampe commune d'injection voiture"
"Système d'alimentation",1137,"Soupape réaspiration des gaz d'échappement",soupape-reaspiration-des-gaz-d-echappement,2,0,G3,"soupape réaspiration des gaz d'échappement","soupape réaspiration des gaz d'échappement voiture"
"Système d'alimentation",3964,"Tube de distributeur carburant",tube-de-distributeur-carburant,2,0,G3,"tube de distributeur carburant","tube de distributeur carburant voiture"
"Système d'alimentation",3937,"Tuyau carburant de fuite",tuyau-carburant-de-fuite,2,0,G3,"tuyau carburant de fuite","tuyau carburant de fuite voiture"
"Système d'alimentation",1145,"Vanne EGR",vanne-egr,1,1,G1,"vanne egr","vanne egr voiture"
"Moteur",566,"Arbre à came",arbre-a-came,2,0,G3,"arbre à came","arbre à came voiture"
"Moteur",626,"Bague d'étanchéité boîte automatique",bague-d-etancheite-boite-automatique,2,0,G3,"bague d'étanchéité boîte automatique","bague d'étanchéité boîte automatique voiture"
"Moteur",3874,"Bagues d'étanchéité moteur",bagues-d-etancheite-moteur,1,0,G2,"bagues d'étanchéité moteur","bagues d'étanchéité moteur voiture"
"Moteur",593,"Bouchon de vidange",bouchon-de-vidange,2,0,G3,"bouchon de vidange","bouchon de vidange voiture"
